Social Identity,Category
Gender,Male
,Female
Ethnicity,He/She is White
,He/She is ethnically mixed
,He/She is Asian/Asian British
,He/She is Black
,The person's ethnicity is unknown
Age,[X] years old
Religion,Describes himself/herself as having no religion
,Describes his/her religion as Christian (no denomination)
,Describes his/her religion as Roman Catholic
,Describes his/her religion as Church of England/Anglican
,Describes his/her religion as Presbyterian/Church of Scotland
,Describes his/her religion as Methodist
,Describes his/her religion as Hindu
,Describes his/her religion as Islam
,The person's religion is unknown
Region,Lives in the East Midlands
,Lives in the East of England
,Lives in London
,Lives in North East
,Lives in North West
,Lives in Scotland
,Lives in South East
,Lives in South West
,Lives in Wales
,Lives in West Midlands
,Lives in Yorkshire & Humber
Home status,Owns the home where he/she lives
,Rents the home where he/she lives
Education,Does not have a university degree
,Has a university degree
Annual household income,"Household Income is less under £5,000 per year"
,"Household Income is between £5,000 and £9,999 per year"
,"Household income is between £10,000 and £14,999 per year"
,"Household income is between £15,000 and £19,999 per year"
,"Household income is between £20,000 and £24,999 per year"
,"Household income is between £25,000 and £29,999 per year"
,"Household income is between £30,000 and £34,999 per year"
,"Household Income is between £35,000 and £39,999 per year"
,"Household income is between £40,000 and £44,999 per year"
,"Household income is between £45,000 and £49,999 per year"
,"Household income is between £50,000 and £59,999 per year"
,"Household income is between £60,000 and £69,999 per year"
,"Household income is between £70,000 and £99,999 per year"
,"Household income is between £100,000 and £149,999 per year"
,"Household income is greater than £150,000 per year"
Subjective class,Describes himself/herself as Middle class
,Describes himself/herself as Working class
